"id","instrument","endogenous","confounder","outcome"
1,1.371,3.334,2.325,5.835
2,-0.565,0.481,0.524,0.775
3,0.363,1.03,0.971,0.975
4,0.633,0.813,0.377,2.419
5,0.404,-0.874,-0.996,-2.443
6,-0.106,-0.651,-0.597,-0.902
7,1.512,0.676,0.165,2.205
8,-0.095,-2.893,-2.928,-6.674
9,2.018,0.124,-0.848,1.356
10,-0.063,1.013,0.799,-0.162
11,1.305,1.232,-0.298,2.724
12,2.287,1.167,-0.284,3.875
13,-1.389,-0.841,0.87,-1.214
14,-0.279,-0.675,-0.544,-0.38
15,-0.133,1.531,0.629,2.445
16,0.636,0.328,-1.422,1.097
17,-0.284,-2.041,-1.228,-2.853
18,-2.656,-3.377,-1.674,-7.916
19,-2.44,-0.874,0.084,-0.755
20,1.32,0.74,-0.206,0.091
21,-0.307,1.738,1.442,2.832
22,-1.781,-1.447,-0.042,-0.267
23,-0.172,1.265,1.354,2.906
24,1.215,2.519,1.945,4.752
25,1.895,2.548,-0.491,6.125
26,-0.43,0.47,0.388,0.657
27,-0.257,-1.459,-0.845,-2.212
28,-1.763,-0.946,0.738,-2.31
29,0.46,-0.357,-1.08,-2.96
30,-0.64,-2.22,-1.026,-3.864
31,0.455,-0.352,0.289,-1.245
32,0.705,0.005,0.091,-0.572
33,1.035,0.761,0.263,1.499
34,-0.609,0.249,0.069,1.833
35,0.505,-0.207,-0.529,-0.065
36,-1.717,-1.225,-0.13,-1.595
37,-0.784,0.715,1.62,1.896
38,-0.851,-0.963,-0.018,-1.822
39,-2.414,-2.064,-1.318,-3.324
40,0.036,-1.199,-0.845,-2.451
41,0.206,-0.851,-1.102,-2.842
42,-0.361,-1.147,-0.9,-1.856
43,0.758,-0.212,-1.261,-2.576
44,-0.727,-1.806,-2.626,-4.335
45,-1.368,-0.166,0.669,-0.458
46,0.433,1.522,0.66,2.818
47,-0.811,-0.387,-0.251,-1.169
48,1.444,0.12,-0.724,1.3
49,-0.431,-0.911,-0.812,-2.81
50,0.656,1.466,0.399,0.278
51,0.322,-0.374,0.227,0.01
52,-0.784,-0.049,0.422,-0.095
53,1.576,1.028,0.005,1.948
54,0.643,1.384,0.619,2.315
55,0.09,0.783,0.431,-0.164
56,0.277,0.791,0.558,0.573
57,0.679,1.619,0.496,3.695
58,0.09,0.63,1.662,1.112
59,-2.993,-2.484,-1.055,-6.281
60,0.285,0.616,1.508,1.68
61,-0.367,-0.231,-0.334,0.359
62,0.185,0.122,-0.065,0.117
63,0.582,0.956,0.081,1.887
64,1.4,0.661,-0.448,2.775
65,-0.727,-3.336,-2.554,-6.023
66,1.303,-0.342,-0.313,0.566
67,0.336,0.539,0.041,1.028
68,1.039,-0.7,-1.738,0.253
69,0.921,0.799,0.55,1.467
70,0.721,-0.129,-0.597,0.72
71,-1.043,0.092,1.448,-0.305
72,-0.09,0.07,0.265,-0.963
73,0.624,-0.66,-0.789,-0.24
74,-0.954,-1.525,0.168,-0.77
75,-0.543,-0.284,0.258,-0.919
76,0.581,1.659,0.912,4.696
77,0.768,1.351,-0.157,2.481
78,0.464,-1.301,-2.033,-1.475
79,-0.886,-1.7,-1.3,-4.259
80,-1.1,-0.974,-0.857,-1.587
81,1.513,1.427,0.426,2.047
82,0.258,-0.265,-0.285,-1.853
83,0.088,-1.298,-0.614,-1.88
84,-0.121,-1.392,-0.845,-1.091
85,-1.194,-0.51,0.154,-1.824
86,0.612,-0.983,-0.851,-2.764
87,-0.217,0.054,-0.398,-0.925
88,-0.183,-1.553,-0.94,-3.47
89,0.933,-0.554,-1.388,-0.304
90,0.822,1.338,0.955,3.293
91,1.392,-0.086,-1.317,0.403
92,-0.476,-0.199,0.073,0.354
93,0.65,0.3,-0.568,0.188
94,1.391,0.064,-1.058,0.061
95,-1.111,-0.694,0.259,-0.733
96,-0.861,-0.224,0.373,-0.767
97,-1.132,0.003,1.265,-1.083
98,-1.459,0.007,0.325,-1.395
99,0.08,-1.14,-0.138,0.432
100,0.653,3.053,2.602,4.145
101,1.201,0.196,-0.65,0.487
102,1.045,0.14,-1.003,2.315
103,-1.003,-0.637,-0.535,-0.382
104,1.848,1.623,-0.11,3.072
105,-0.667,-0.317,0.6,-0.16
106,0.106,1.189,0.416,4.121
107,-0.422,-1.192,-0.106,-2.183
108,-0.122,-0.339,-0.857,-1.161
109,0.188,0.778,1.127,2.895
110,0.119,-0.142,0.916,1.493
111,-0.025,-1.53,-0.724,-3.972
112,0.108,0.748,0.687,2.145
113,-0.485,1.132,0.45,2.348
114,-0.504,0.62,1.045,1.837
115,-1.661,-0.478,0.15,-0.444
116,-0.382,-0.761,-1.141,-1.429
117,-0.513,-0.044,0.802,0.27
118,2.702,1.785,-0.729,2.433
119,-1.362,-0.355,0.527,-2.168
120,0.137,1.538,1.673,3.63
121,-1.494,-1.68,-1.419,-3.132
122,-1.47,0.594,1.562,0.9
123,0.125,0.857,1.353,-0.098
124,-0.997,-0.923,-0.529,-2.363
125,-0.002,-0.648,-0.251,-1.079
126,-0.428,-0.533,-0.686,-1.484
127,-0.614,-1.102,-0.57,-2.066
128,-2.025,-0.728,0.58,-1.128
129,-1.225,-1.392,-0.899,-2.833
130,0.18,-0.162,-0.19,0.123
131,0.568,0.515,-0.144,0.801
132,-0.493,-0.135,-0.097,-0.579
133,0,0.03,0.181,-0.213
134,1.123,2.649,1.597,5.778
135,1.44,1.343,-0.451,3.553
136,-1.097,-1.735,-0.795,-1.055
137,-0.117,0.163,0.792,-0.736
138,1.201,1.402,0.38,2.059
139,-0.47,-0.597,0.236,-0.573
140,-0.052,0.211,0.591,2.001
141,-0.086,-0.788,-1.412,-0.209
142,-0.888,-0.057,1.063,-0.689
143,-0.445,-0.912,0.454,-2.548
144,-0.029,1.073,0.951,3.747
145,-0.414,-1.57,-0.599,-1.537
146,1.113,-1.371,-1.842,-2.344
147,-0.481,-2.233,-0.485,-2.718
148,-0.433,-0.613,-0.907,-1.143
149,0.697,2.392,2.223,3.743
150,-1.056,-0.839,-0.413,-1.687
151,-0.041,0.221,-0.216,0.544
152,-1.552,-0.257,1.063,-2.179
153,1.167,0.761,0.62,1.287
154,-0.274,0.629,0.673,0.772
155,-0.468,2.431,2.634,5.09
156,-1.238,-1.484,0.166,-3.516
157,-0.008,1.215,1.905,2.722
158,-0.8,-0.503,0.254,-0.496
159,-0.533,-2.186,-1.459,-4.504
160,1.288,-0.533,-2.227,-0.888
161,-0.176,0.097,0.65,2.511
162,-1.072,-0.921,-0.999,-0.194
163,0.163,0.175,0.042,1.9
164,-0.363,1.532,1.777,2.944
165,0.59,1.471,0.347,2.068
166,1.432,0.906,-0.287,2.411
167,-0.993,-1.696,-1.925,-3.134
168,0.455,-0.217,-0.801,3.231
169,0.085,-1.157,-0.576,-4.188
170,0.896,1.185,0.684,2.1
171,-0.23,0.585,0.483,2.605
172,0.837,0.842,0.014,-0.417
173,-1.745,-1.164,0.18,-2.606
174,1.689,0.343,-0.288,1.049
175,0.865,0.953,0.03,1.683
176,-0.151,-0.346,0.272,-1.652
177,-1.449,-1.281,0.449,-2.729
178,0.643,2.21,1.828,5.575
179,0.483,-1.168,-1.112,-3.573
180,-0.006,1.298,1.475,3.863
181,0.151,0.645,0.672,2.136
182,-0.584,-2.309,-1.545,-5.701
183,0.369,0.626,-0.277,-0.22
184,0.295,-0.594,-0.629,-1.09
185,-0.279,-0.342,-0.933,-0.304
186,-1.336,-2.403,-1.538,-3.466
187,0.701,-0.192,-0.494,-0.373
188,0.554,0.024,-0.435,0.512
189,-0.836,-1.023,-0.324,-0.725
190,-1.595,-2.943,-2.061,-4.51
191,0.205,0.058,0.442,0.898
192,-0.345,-0.251,0.746,-0.253
193,0.253,1.115,0.79,2.532
194,-1.294,-0.692,0.771,-0.259
195,-0.959,-1.199,0.201,-1.316
196,1.086,1.681,1.468,3.153
197,0.404,-0.819,-0.876,-1.186
198,0.586,-1.667,-1.227,-1.519
199,1.815,1.395,0.338,4.229
200,0.129,0.526,0.441,0.032
201,-2.001,-1.851,-0.747,-2.178
202,0.334,0.459,0.037,0.829
203,1.171,0.578,0.323,-0.45
204,2.06,1.583,0.38,4.42
205,-1.377,-0.767,0.877,-1.537
206,-1.151,-0.377,0.933,0.12
207,-0.706,-3.042,-2.429,-3.902
208,-1.054,0.086,1.728,1.08
209,-0.646,0.228,0.456,0.056
210,-0.185,-0.722,-0.57,-1.523
211,-1.201,-1.862,-1.115,-4.6
212,2.037,3.015,0.905,5.117
213,0.108,0.309,0.328,1.074
214,-0.084,0.535,1.078,0.663
215,0.496,0.672,-0.06,2.009
216,0.037,-0.412,-0.244,0.032
217,-0.132,2.387,2.241,4.914
218,1.477,-0.784,-2.036,-1.763
219,-0.217,-0.147,0.391,-1.832
220,-1.284,-1.175,0.385,-2.273
221,0.386,0.785,0.439,0.489
222,-0.352,0.934,0.558,2.458
223,-0.522,-0.764,-0.276,-0.728
224,-1.068,0.316,1.166,0.832
225,0.428,-1.497,-2.454,-3.786
226,-0.174,-0.055,-0.806,-0.785
227,0.516,0.598,-0.119,0.716
228,-0.234,-0.57,0.163,-1.01
229,-0.659,-0.484,0.406,1.347
230,1.25,1.014,0.639,1.043
231,-0.272,-1.326,-1.509,-4.659
232,0.948,0.668,0.008,1.214
233,-1.202,-0.238,0.524,-1.367
234,-0.466,0.406,1.326,-1.493
235,-0.269,-0.468,-0.114,-1.798
236,-0.391,1.376,1.599,2.219
237,1.349,0.669,-0.282,0.264
238,-0.023,-0.383,-0.05,-0.045
239,0.244,0.785,0.16,2.461
240,-0.942,-1.055,-0.502,-2.384
241,-0.729,-0.396,0.716,-2.345
242,0.998,0.477,-1.346,1.682
243,1.258,0.292,-0.006,-0.27
244,1.249,-0.449,-0.541,-1.673
245,-1.381,-2.531,-0.547,-4.858
246,2.05,2.682,1.151,4.272
247,1.017,1.287,1.052,2.174
248,-0.027,1.122,1.598,1.313
249,0.704,0.426,-0.264,1.271
250,-0.971,-0.887,0.032,-2.624
251,-1.096,-2.813,-1.552,-6.314
252,0.049,-1.251,-0.388,-3.425
253,-1.198,0.402,1.764,0.639
254,0.19,-0.113,-0.417,1.031
255,1.298,-1.164,-1.166,-3.099
256,-1.034,-0.545,0.042,-0.876
257,-0.738,0.691,1.246,0.602
258,0.047,-0.582,-1.578,-2.096
259,-1.018,-0.833,-0.254,-0.55
260,-0.383,0.208,0.468,-0.199
261,0.873,2.495,1.978,6.414
262,0.97,0.177,-0.616,-0.272
263,0.384,1.444,1.519,3.394
264,-1.852,-1.584,-0.433,-2.015
265,-0.054,-0.491,-1.031,1.263
266,1.065,-0.378,-1.134,-1.473
267,0.813,0.143,-0.221,0.384
268,-0.191,-0.584,-0.022,-0.23
269,-2.7,-2.627,-0.323,-5.724
270,0.061,1.048,1.052,2.585
271,0.574,1.327,0.19,2.204
272,0.046,-0.537,-0.106,-2.197
273,0.157,-0.466,-0.603,-3.109
274,0.432,-1.25,-1.296,-1.855
275,-0.397,-1.391,-1.959,-2.928
276,1.31,0.929,0.213,3.555
277,0.47,0.439,0.025,-0.241
278,-1.243,0.396,1.365,0.167
279,1.382,0.673,0.291,2.124
280,1.204,1.429,0.797,2.516
281,0.824,0.495,0.041,1.475
282,-1.663,-1.481,-0.818,-1.527
283,-0.569,-0.783,0.29,0.581
284,0.636,0.117,0.34,0.251
285,0.044,-0.24,-0.817,-1.237
286,0.348,-0.073,-0.029,-1.229
287,2.46,2.992,2.001,5.238
288,-0.818,-1.42,-1.129,-3.153
289,-2.113,-0.462,1.472,-2.282
290,0.274,0.943,-0.227,2.507
291,-0.688,0.834,1.482,2.944
292,0.446,-0.281,-0.843,-0.922
293,-0.812,-0.156,-0.066,-1.346
294,2.212,1.767,0.311,2.23
295,-0.124,-0.152,-0.113,0.477
296,-0.477,-0.344,0.659,-0.722
297,-0.166,-1.396,-0.167,-4.681
298,0.863,0.967,1.209,1.69
299,0.097,0.262,0.17,0.506
300,-1.626,-1.101,0.692,-3.114
301,-0.005,-0.607,-1.186,-2.317
302,0.76,0.368,-0.658,0.349
303,0.039,1.008,1.09,1.204
304,0.735,0.821,0.509,0.916
305,-0.146,-0.894,-0.136,-4.078
306,-0.058,-0.282,-0.109,-0.702
307,0.482,0.715,0.755,2.303
308,0.993,0.848,-0.224,2.874
309,-1.246,-0.158,0.075,1.75
310,-0.033,-1.09,-1.646,-1.749
311,-0.071,0.805,1.774,0.381
312,-0.759,0.917,0.766,2.26
313,-1.034,0.447,0.832,1.911
314,-0.631,-1.854,-1.905,-1.631
315,0.587,-0.709,-0.021,-0.605
316,-0.416,-1.096,-0.409,-0.733
317,-0.785,-1.685,-1.376,-2.793
318,0.163,1.077,0.727,0.804
319,-1.237,-0.468,1.234,-1.921
320,1.046,1.895,-0.553,5.733
321,-0.485,-1.799,-0.229,-2.872
322,0.189,1.384,1.711,1.928
323,0.051,-1.414,-1.65,-3.369
324,0,0.264,0.744,-0.468
325,1.809,0.856,-0.314,1.892
326,-0.825,-0.299,-0.115,-0.836
327,1.145,-0.124,-0.611,-1.129
328,0.032,-0.142,1.097,0.821
329,-0.835,-1.439,-1.127,-2.748
330,-0.069,0.721,0.963,2.104
331,0.747,1.641,1.406,2.762
332,-0.426,-1.277,-1.642,-2.215
333,-0.772,-1.449,-1.127,-1.751
334,0.153,0.968,0.592,2.553
335,0.989,-1.078,-0.956,-1.12
336,-0.073,-1.169,-0.692,-4.095
337,-1.387,-1.153,-0.445,-2.084
338,-1.307,-1.367,-0.344,-2.891
339,-0.768,0.497,0.704,0.274
340,-0.527,-1.354,-0.603,-3.208
341,-0.021,0.418,0.089,2.504
342,0.67,0.725,0.737,1.807
343,-0.435,-2.093,-1.54,-4.177
344,-1.114,-1.503,-0.69,-1.998
345,0.607,1.138,0.86,1.644
346,0.275,-0.722,-0.377,-1.268
347,1.157,-1.6,-2.535,-1.499
348,-1.682,-2.487,-0.858,-5.221
349,0.087,1.222,0.816,1.564
350,1.353,0.968,-0.427,1.43
351,0.724,-0.333,-0.405,-1.676
352,-0.833,-0.421,-0.146,-0.574
353,0.733,0.961,0.719,2.177
354,-0.872,-1.56,-0.491,-2.215
355,-0.453,0.274,0.476,2.302
356,1.188,1.128,0.573,3.605
357,-0.29,-0.578,-1.019,-2.305
358,0.829,0.433,-0.062,2.871
359,-0.291,-0.04,-0.538,0.112
360,-1.576,-1.025,0.417,-2.478
361,-0.849,-1.691,-1.508,-1.376
362,-1.089,0.655,1.539,1.584
363,-0.484,0.877,1.346,3.351
364,-0.336,-0.809,-0.843,-1.577
365,-0.153,-0.65,-0.67,-1.964
366,-0.243,-0.942,-0.908,-3.76
367,1.892,1.898,-0.137,4.936
368,-1.386,-0.917,-0.501,-2.672
369,-0.415,-0.505,0.113,-0.15
370,0.349,-0.558,-1.875,-0.808
371,1.628,1.339,0.159,3.135
372,0.089,-0.246,0.016,0.773
373,1.239,-0.328,-1.601,-0.982
374,-1.645,-1.009,0.276,-2.507
375,1.446,1.107,0.055,1.977
376,-0.691,-1.155,-0.231,-1.226
377,-0.276,-0.614,-0.013,-1.701
378,-1.109,0.213,0.385,0.212
379,0.134,0.852,0.347,2.465
380,1.785,0.463,-0.432,1.747
381,2.422,2.166,1.15,5.013
382,-1.077,0.079,-0.037,0.21
383,0.486,1.186,-0.136,3.148
384,1.389,1.339,0.945,2.87
385,-0.196,0.006,0.992,-0.721
386,-0.218,0.598,-0.701,3.071
387,-0.305,-0.891,-0.991,-3.547
388,0.598,-0.053,-0.706,0.811
389,1.397,0.076,-1.176,0.611
390,0.688,-0.241,-1.781,-0.281
391,0.32,0.377,0.311,0.111
392,-0.302,0.402,-0.145,0.559
393,0.498,0.753,0.643,3.247
394,-0.55,-0.133,-0.002,-0.364
395,-0.279,-0.385,0.409,-1.195
396,1.097,0.456,-0.496,0.083
397,0.442,0.142,-0.96,-0.116
398,0.241,0.71,0.778,1.257
399,-0.256,1.071,0.761,0.709
400,0.931,0.628,-1.734,2.573
401,1.335,2.107,0.877,4.225
402,-0.869,-2.151,-1.773,-2.661
403,0.055,0.051,-0.046,1.096
404,0.049,-0.499,-0.395,0.457
405,-0.578,0.582,-0.128,-0.159
406,-0.999,-1.302,1.096,-2.133
407,-0.002,-0.965,-1.255,-2.167
408,0.656,0.302,-0.265,0.583
409,1.477,3.183,2.553,5.512
410,-1.909,-3.298,-1.478,-6.233
411,-0.702,-0.885,-0.627,-1.613
412,-0.311,-0.157,-0.041,-2.43
413,-1.663,-0.375,0.2,0.083
414,-0.751,-0.69,-0.533,-1.173
415,-0.777,-0.199,-0.266,-1.344
416,-0.723,-0.117,1.084,-1.444
417,-2.189,-1.739,-0.181,-4.15
418,0.213,0.447,0.252,-0.716
419,-0.632,-0.011,0.37,0.08
420,1.52,1.043,0.407,3.548
421,0.796,1.691,0.493,3.525
422,-1.454,-1.28,0.055,-2.038
423,0.098,-1.305,-0.709,-4.023
424,-0.594,-0.261,-0.058,-2.055
425,0.888,0.183,-0.963,-0.433
426,0.053,0.584,0.093,1.88
427,-0.557,-1.141,-0.348,-3.132
428,0.438,0.088,-0.118,0.747
429,0.153,-1.437,-1.099,-2.982
430,-0.165,0.081,-0.283,0.573
431,2.02,0.716,-1.09,0.502
432,-0.529,-0.238,-0.406,-1.385
433,-0.471,0.396,0.527,0.635
434,-1.546,-1.194,0.24,-2.62
435,-0.041,0.78,0.898,-0.318
436,0.89,0.059,0.488,0.607
437,-2.071,-1.109,0.112,-4.179
438,-0.25,1.108,0.998,1.701
439,-1.182,-0.312,1.192,-0.687
440,1.442,-1.178,-1.399,-2.918
441,1.358,0.903,0.892,0.313
442,0.335,0.3,0.778,0.123
443,1.429,2.375,0.942,4.545
444,-0.867,-1.332,-0.909,-3.498
445,0.951,1.974,2.409,2.349
446,-0.585,-2.207,-2.594,-5.349
447,0.321,-0.861,0.007,-2.252
448,-0.299,-0.239,0.118,-0.942
449,-0.279,0.242,-0.15,1.918
450,0.546,0.81,0.748,0.259
451,-1.304,-0.161,0.124,0.047
452,-0.251,0.1,-0.778,-0.141
453,0.171,0.664,1.41,1.279
454,-0.403,-1.094,-0.294,-2.822
455,0.105,0.105,0.611,0.951
456,-0.319,-0.492,-0.667,-2.621
457,1.618,0.702,-1.06,1.665
458,0.714,0.62,-0.606,1.326
459,2.966,1.88,-1.057,4.922
460,-0.795,0.408,0.533,0.538
461,0.814,-0.202,-1.552,0.248
462,2.098,0.768,-0.978,2.033
463,0.301,-0.212,0.027,-1.073
464,-1.083,-2.494,-1.716,-4.9
465,-1.006,-0.905,-0.505,-1.892
466,-0.035,0.573,-0.305,2.296
467,1.309,2.846,1.346,5.797
468,0.75,-0.644,-0.258,-0.971
469,-2.138,-2.332,-0.523,-2.269
470,-0.7,-0.311,-0.663,-0.14
471,-0.009,-0.181,0.447,-0.043
472,-1.458,-2.083,-0.319,-3.602
473,0.695,0.351,-0.544,2.305
474,-2.461,-1.08,-0.28,-1.171
475,0.143,1.92,1.065,4.071
476,-0.391,1.247,1.568,1.726
477,-0.491,-0.498,-0.643,-0.576
478,-0.284,0.098,0.021,0.335
479,0.315,-0.048,-0.324,-1.9
480,0.396,0.077,1.857,-1.572
481,-0.226,0.695,0.591,-0.463
482,-1.925,-2.968,-1.781,-4.343
483,-1.439,-0.85,-0.434,-1.038
484,-1.47,-3.176,-2.293,-8.474
485,0.762,-0.358,-0.093,-0.24
486,-0.244,1.015,0.704,2.024
487,0.27,-0.436,-0.894,-1.039
488,-1.559,-0.37,-1.283,-1.355
489,-0.536,1.088,1.256,0.78
490,0.562,0.146,-0.965,1.252
491,-0.178,0.983,0.908,1.299
492,-0.115,-0.211,0.214,-0.576
493,-0.072,0.469,0.881,1.437
494,1.211,2.18,1.003,4.794
495,-0.615,1.009,1.14,1.511
496,0.676,1.754,1.236,2.843
497,0.899,0.372,0.295,0.974
498,-1.189,0.147,0.172,-0.901
499,0.121,-1.363,-0.955,-2.324
500,-0.011,-1.193,-1.21,-2.091
